STATION,NAME,DATE,PRCP,TAVG
PP000092035,"PORT MORESBY W.O., PP",1998-02,4.02,84
PP000092035,"PORT MORESBY W.O., PP",1998-03,10.28,82.9
PP000092035,"PORT MORESBY W.O., PP",1998-04,3.39,83.3
PP000092035,"PORT MORESBY W.O., PP",1998-05,2.36,82.9
PP000092035,"PORT MORESBY W.O., PP",1998-06,0.08,82.1
PP000092035,"PORT MORESBY W.O., PP",1998-07,1.02,81.5
PP000092035,"PORT MORESBY W.O., PP",1998-08,2.4,82.3
PP000092035,"PORT MORESBY W.O., PP",1998-09,0.28,82.8
PP000092035,"PORT MORESBY W.O., PP",1998-10,1.61,83.6
PP000092035,"PORT MORESBY W.O., PP",1998-11,7.83,83.2
PP000092035,"PORT MORESBY W.O., PP",1998-12,6.34,82.3
PP000092035,"PORT MORESBY W.O., PP",1999-01,5.39,82.9
PP000092035,"PORT MORESBY W.O., PP",1999-02,5,81.9
PP000092035,"PORT MORESBY W.O., PP",1999-03,10,81.9
PP000092035,"PORT MORESBY W.O., PP",1999-04,9.41,82.1
PP000092035,"PORT MORESBY W.O., PP",1999-05,2.01,80.6
PP000092035,"PORT MORESBY W.O., PP",1999-06,0.39,80.8
PP000092035,"PORT MORESBY W.O., PP",1999-07,3.54,79.1
PP000092035,"PORT MORESBY W.O., PP",1999-08,0.39,79.1
PP000092035,"PORT MORESBY W.O., PP",1999-09,0.75,80.3
PP000092035,"PORT MORESBY W.O., PP",1999-10,0.98,83
PP000092035,"PORT MORESBY W.O., PP",1999-11,7.52,81.9
PP000092035,"PORT MORESBY W.O., PP",1999-12,4.61,82.5
PP000092035,"PORT MORESBY W.O., PP",2000-01,6.1,81.8
PP000092035,"PORT MORESBY W.O., PP",2000-02,9.53,82.6
PP000092035,"PORT MORESBY W.O., PP",2000-03,13.78,81.3
PP000092035,"PORT MORESBY W.O., PP",2000-04,12.83,81.7
PP000092035,"PORT MORESBY W.O., PP",2000-05,11.26,80.7
PP000092035,"PORT MORESBY W.O., PP",2000-06,1.73,79.4
PP000092035,"PORT MORESBY W.O., PP",2000-07,0.12,77.9
PP000092035,"PORT MORESBY W.O., PP",2000-08,0.31,79.2
PP000092035,"PORT MORESBY W.O., PP",2000-09,0.31,81
PP000092035,"PORT MORESBY W.O., PP",2000-10,0.47,83
PP000092035,"PORT MORESBY W.O., PP",2000-11,1.97,84.1
PP000092035,"PORT MORESBY W.O., PP",2000-12,1.97,83.7
PP000092035,"PORT MORESBY W.O., PP",2001-01,10.63,82.5
PP000092035,"PORT MORESBY W.O., PP",2001-02,11.69,81.3
PP000092035,"PORT MORESBY W.O., PP",2001-03,11.14,81.8
PP000092035,"PORT MORESBY W.O., PP",2001-04,7.87,81.8
PP000092035,"PORT MORESBY W.O., PP",2001-05,0.2,80.2
PP000092035,"PORT MORESBY W.O., PP",2001-06,2.36,80.9
PP000092035,"PORT MORESBY W.O., PP",2001-07,1.22,78.3
PP000092035,"PORT MORESBY W.O., PP",2001-08,1.26,79.5
PP000092035,"PORT MORESBY W.O., PP",2001-09,0.16,82.4
PP000092035,"PORT MORESBY W.O., PP",2001-10,0.39,82.2
PP000092035,"PORT MORESBY W.O., PP",2001-11,2.52,83.9
PP000092035,"PORT MORESBY W.O., PP",2001-12,4.06,82.6
PP000092035,"PORT MORESBY W.O., PP",2002-01,3.43,83.1
PP000092035,"PORT MORESBY W.O., PP",2002-02,5.59,81.6
PP000092035,"PORT MORESBY W.O., PP",2002-03,7.48,81.5
